Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Perceptions of Corruption,Generosity,year
Uruguay,Latin America and Caribbean,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,2016
Malta,Western Europe,6.4879999999999995,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,2016
Colombia,Latin America and Caribbean,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,2016
France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2016
Thailand,Southeastern Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2016
Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2016
Taiwan,Eastern Asia,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2016
Qatar,Middle East and Northern Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,2016
Spain,Western Europe,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2016
Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,2016
Guatemala,Latin America and Caribbean,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,2016
Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,2016
Kuwait,Middle East and Northern Africa,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,2016
Bahrain,Middle East and Northern Africa,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,2016
Trinidad and Tobago,Latin America and Caribbean,6.167999999999999,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2016
Venezuela,Latin America and Caribbean,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2016
Slovakia,Central and Eastern Europe,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2016
El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,2016
Malaysia,Southeastern Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994,2016
Nicaragua,Latin America and Caribbean,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2016
Uzbekistan,Central and Eastern Europe,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2016
Italy,Western Europe,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2016
Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2016
Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002,2016
Japan,Eastern Asia,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,2016
Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2016
Moldova,Central and Eastern Europe,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,2016
Russia,Central and Eastern Europe,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002,2016
Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2016
South Korea,Eastern Asia,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,2016
Bolivia,Latin America and Caribbean,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2016
Lithuania,Central and Eastern Europe,5.813,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2016
Belarus,Central and Eastern Europe,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2016
North Cyprus,Western Europe,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,2016
Slovenia,Central and Eastern Europe,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,2016
Peru,Latin America and Caribbean,5.742999999999999,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2016
Turkmenistan,Central and Eastern Europe,5.6579999999999995,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2016
Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.05202999999999999,0.36951,2016
Libya,Middle East and Northern Africa,5.615,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2016
Latvia,Central and Eastern Europe,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2016
Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2016
Paraguay,Latin America and Caribbean,5.537999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2016
Romania,Central and Eastern Europe,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2016
Estonia,Central and Eastern Europe,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,2016
Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2016
Croatia,Central and Eastern Europe,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2016
Hong Kong,Eastern Asia,5.457999999999999,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097,2016
Somalia,Sub-Saharan Africa,5.44,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225,2016
Kosovo,Central and Eastern Europe,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2016
Turkey,Middle East and Northern Africa,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2016
Indonesia,Southeastern Asia,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2016
Jordan,Middle East and Northern Africa,5.303,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262,2016
Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2016
Philippines,Southeastern Asia,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2016
China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2016
Bhutan,Southern Asia,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006,2016
Kyrgyzstan,Central and Eastern Europe,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2016
Serbia,Central and Eastern Europe,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,2016
Bosnia and Herzegovina,Central and Eastern Europe,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2016
Montenegro,Central and Eastern Europe,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2016
Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,2016
Morocco,Middle East and Northern Africa,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2016
Hungary,Central and Eastern Europe,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,2016
Pakistan,Southern Asia,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,2016
Lebanon,Middle East and Northern Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2016
Portugal,Western Europe,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,2016
Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2016
Vietnam,Southeastern Asia,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,2016
Somaliland Region,Sub-Saharan Africa,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2016
Tunisia,Middle East and Northern Africa,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2016
Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2016
Tajikistan,Central and Eastern Europe,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2016
Mongolia,Eastern Asia,4.907,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,2016
Laos,Southeastern Asia,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2016
Nigeria,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2016
Honduras,Latin America and Caribbean,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2016
Iran,Middle East and Northern Africa,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,2016
Zambia,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2016
Nepal,Southern Asia,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2016
Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2016
Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,2016
Bangladesh,Southern Asia,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2016
Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,2016
Iraq,Middle East and Northern Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,2016
Namibia,Sub-Saharan Africa,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,2016
Cameroon,Sub-Saharan Africa,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2016
Ethiopia,Sub-Saharan Africa,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2016
South Africa,Sub-Saharan Africa,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,2016
Sri Lanka,Southern Asia,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,2016
India,Southern Asia,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2016
Myanmar,Southeastern Asia,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,2016
Egypt,Middle East and Northern Africa,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,2016
Armenia,Central and Eastern Europe,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,2016
Kenya,Sub-Saharan Africa,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,2016
Ukraine,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,2016
Ghana,Sub-Saharan Africa,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2016
Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2016
Georgia,Central and Eastern Europe,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,2016
Congo (Brazzaville),Sub-Saharan Africa,4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077,2016
Senegal,Sub-Saharan Africa,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,2016
Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793,2016
Mauritania,Sub-Saharan Africa,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998,2016
Zimbabwe,Sub-Saharan Africa,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,2016
Malawi,Sub-Saharan Africa,4.156000000000001,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2016
Sudan,Sub-Saharan Africa,4.138999999999999,0.63069,0.8192799999999999,0.29759,0.0,0.10039,0.18077000000000001,2016
Gabon,Sub-Saharan Africa,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996,2016
Mali,Sub-Saharan Africa,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002,2016
Haiti,Latin America and Caribbean,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958,2016
Botswana,Sub-Saharan Africa,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425,2016
Comoros,Sub-Saharan Africa,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827,2016
Ivory Coast,Sub-Saharan Africa,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,2016
Cambodia,Southeastern Asia,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,2016
Angola,Sub-Saharan Africa,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998,2016
Niger,Sub-Saharan Africa,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2016
South Sudan,Sub-Saharan Africa,3.832,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,0.25899,2016
Chad,Sub-Saharan Africa,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667,2016
Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002,2016
Uganda,Sub-Saharan Africa,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102,2016
Yemen,Middle East and Northern Africa,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821,2016
Madagascar,Sub-Saharan Africa,3.695,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,0.2204,2016
Tanzania,Sub-Saharan Africa,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,2016
Liberia,Sub-Saharan Africa,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063,2016
Guinea,Sub-Saharan Africa,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2016
Rwanda,Sub-Saharan Africa,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998,2016
Benin,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,2016
Afghanistan,Southern Asia,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,2016
Togo,Sub-Saharan Africa,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,2016
Syria,Middle East and Northern Africa,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996,2016
Burundi,Sub-Saharan Africa,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2016
