Country,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,year,Region
Madagascar,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,0.049,2018,Sub-Saharan Africa
Zimbabwe,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,2018,Sub-Saharan Africa
Afghanistan,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,2018,Southern Asia
Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,2018,Sub-Saharan Africa
Malawi,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,2018,Sub-Saharan Africa
Haiti,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,2018,Latin America and Caribbean
Liberia,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,2018,Sub-Saharan Africa
Syria,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,2018,Middle East and Northern Africa
Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,2018,Sub-Saharan Africa
Yemen,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,2018,Middle East and Northern Africa
Tanzania,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,2018,Sub-Saharan Africa
South Sudan,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106,2018,Sub-Saharan Africa
Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018,Sub-Saharan Africa
Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018,Sub-Saharan Africa
