Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Perceptions of Corruption,Generosity,year
Guatemala,Latin America and Caribbean,6.122999999999998,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2015
Uzbekistan,Central and Eastern Europe,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2015
Slovakia,Central and Eastern Europe,5.995,1.16891,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2015
Japan,Eastern Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,2015
South Korea,Eastern Asia,5.984,1.24461,0.95774,0.96538,0.33208000000000004,0.07857,0.18557,2015
Ecuador,Latin America and Caribbean,5.975,0.8640200000000001,0.99903,0.79075,0.48574,0.1809,0.11540999999999997,2015
Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015
Italy,Western Europe,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2015
Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2015
Moldova,Central and Eastern Europe,5.8889999999999985,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,2015
Paraguay,Latin America and Caribbean,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2015
Kazakhstan,Central and Eastern Europe,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2015
Slovenia,Central and Eastern Europe,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,2015
Lithuania,Central and Eastern Europe,5.832999999999998,1.14723,1.25745,0.73128,0.21342,0.01031,0.026410000000000003,2015
Nicaragua,Latin America and Caribbean,5.8279999999999985,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2015
Peru,Latin America and Caribbean,5.824,0.9001899999999999,0.97459,0.73017,0.4149600000000001,0.05989,0.14982,2015
Belarus,Central and Eastern Europe,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11046,2015
Poland,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,2015
Malaysia,Southeastern Asia,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10501,0.33075,2015
Croatia,Central and Eastern Europe,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2015
Libya,Middle East and Northern Africa,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2015
Russia,Central and Eastern Europe,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2015
Jamaica,Latin America and Caribbean,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2015
North Cyprus,Western Europe,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,2015
Cyprus,Western Europe,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638000000000004,2015
Algeria,Middle East and Northern Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2015
Kosovo,Central and Eastern Europe,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2015
Turkmenistan,Central and Eastern Europe,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015
Mauritius,Sub-Saharan Africa,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,2015
Hong Kong,Eastern Asia,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015
Estonia,Central and Eastern Europe,5.4289999999999985,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015
Indonesia,Southeastern Asia,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,2015
Vietnam,Southeastern Asia,5.36,0.63216,0.91226,0.7467600000000001,0.59444,0.10441,0.1686,2015
Turkey,Middle East and Northern Africa,5.332000000000002,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2015
Kyrgyzstan,Central and Eastern Europe,5.2860000000000005,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2015
Nigeria,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2015
Bhutan,Southern Asia,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,2015
Azerbaijan,Central and Eastern Europe,5.2120000000000015,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015
Pakistan,Southern Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,2015
Jordan,Middle East and Northern Africa,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,2015
Montenegro,Central and Eastern Europe,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2015
China,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,2015
Zambia,Sub-Saharan Africa,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2015
Romania,Central and Eastern Europe,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,2015
Serbia,Central and Eastern Europe,5.122999999999998,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2015
Portugal,Western Europe,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,2015
Latvia,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,2015
Philippines,Southeastern Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,2015
Somaliland region,Sub-Saharan Africa,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.5031800000000001,2015
Morocco,Middle East and Northern Africa,5.013,0.7347899999999999,0.64095,0.60954,0.4169100000000001,0.08546000000000001,0.07172,2015
Macedonia,Central and Eastern Europe,5.007,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359,2015
Mozambique,Sub-Saharan Africa,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,2015
Albania,Central and Eastern Europe,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,2015
Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.8322299999999999,0.91916,0.79081,0.09245,0.00227,0.24808,2015
Lesotho,Sub-Saharan Africa,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2015
Dominican Republic,Latin America and Caribbean,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,2015
Laos,Southeastern Asia,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42192,2015
Mongolia,Eastern Asia,4.874,0.82819,1.3006,0.60268,0.43626,0.026660000000000003,0.3323,2015
Swaziland,Sub-Saharan Africa,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2015
Greece,Western Europe,4.857,1.15406,0.92933,0.88213,0.07699,0.013969999999999998,0.0,2015
Lebanon,Middle East and Northern Africa,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,2015
Hungary,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,2015
Honduras,Latin America and Caribbean,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,2015
Tajikistan,Central and Eastern Europe,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2015
Tunisia,Middle East and Northern Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2015
Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2015
Bangladesh,Southern Asia,4.694,0.39753,0.4310600000000001,0.60164,0.4082,0.12569,0.21222,2015
Iran,Middle East and Northern Africa,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.05863,0.38086,2015
Ukraine,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,2015
Iraq,Middle East and Northern Africa,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,2015
South Africa,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,2015
Ghana,Sub-Saharan Africa,4.633,0.5455800000000001,0.6795399999999999,0.40132,0.42342,0.04355,0.23087,2015
Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2015
Liberia,Sub-Saharan Africa,4.5710000000000015,0.0712,0.78968,0.34201,0.28531,0.062320000000000014,0.24362,2015
India,Southern Asia,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2015
Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2015
Haiti,Latin America and Caribbean,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2015
Congo (Kinshasa),Sub-Saharan Africa,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2015
Nepal,Southern Asia,4.5139999999999985,0.35997,0.86449,0.5687399999999999,0.38282,0.05907,0.32296,2015
Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2015
Sierra Leone,Sub-Saharan Africa,4.507,0.33024000000000003,0.95571,0.0,0.4084,0.08786000000000001,0.21488,2015
Mauritania,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2015
Kenya,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,2015
Djibouti,Sub-Saharan Africa,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2015
Armenia,Central and Eastern Europe,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,2015
Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015
Myanmar,Southeastern Asia,4.307,0.27108000000000004,0.70905,0.4824600000000001,0.44017,0.19034,0.79588,2015
Georgia,Central and Eastern Europe,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.055470000000000005,2015
Malawi,Sub-Saharan Africa,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2015
Sri Lanka,Southern Asia,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828,2015
Cameroon,Sub-Saharan Africa,4.252,0.4225,0.8876700000000001,0.23402,0.49309,0.05786,0.20618000000000006,2015
Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015
Egypt,Middle East and Northern Africa,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,2015
Yemen,Middle East and Northern Africa,4.077,0.5464899999999999,0.68093,0.40064,0.35571,0.07854,0.09131,2015
Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384000000000003,0.07122,0.12344,2015
Mali,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,2015
Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,2015
Comoros,Sub-Saharan Africa,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17440999999999998,2015
Uganda,Sub-Saharan Africa,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,2015
Senegal,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843000000000006,2015
Gabon,Sub-Saharan Africa,3.896,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,2015
Niger,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,2015
Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015
Tanzania,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.057470000000000014,0.34377,2015
Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333,2015
Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.0,0.06699,0.48879,0.08288999999999999,0.23835,2015
Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015
Guinea,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,2015
Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,2015
Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.12832000000000002,0.21747,2015
Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,2015
Rwanda,Sub-Saharan Africa,3.465,0.22208000000000006,0.7737,0.42864,0.59201,0.55191,0.22628,2015
Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015
Syria,Middle East and Northern Africa,3.006,0.6632,0.47489,0.7219300000000001,0.15684,0.18906,0.47179,2015
Burundi,Sub-Saharan Africa,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015
Togo,Sub-Saharan Africa,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,2015
